Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3OCHOv=0	Methyl Formate	687.45209	6.1E-6	37(9,29)-37(6,32)A	-4.78283	306.03271	440.31027	328.96364	473.30258	JPL
CH3OCHOv=0	Methyl Formate	687.77566	3.3E-6	36(9,27)-35(8,28)E	-3.29842	291.09511	418.81852	314.03684	451.82636	JPL
CH3OCHOv=0	Methyl Formate	687.79805	3.3E-6	36(9,27)-35(8,28)A	-3.29849	291.10081	418.82672	314.04328	451.83563	JPL
CH3OCHOv=0	Methyl Formate	687.81886	1.0E-5	56(9,47)-55(9,46)A	-1.37716	685.58282	986.39508	708.52599	1019.40499	JPL
CH3OCHOv=0	Methyl Formate	687.83106	1.02E-5	56(9,47)-55(9,46)E	-1.37706	685.57642	986.38587	708.51999	1019.39636	JPL
CH3OCHOv=0	Methyl Formate	687.88085	9.1E-6	55(15,41)-54(15,40)A	-1.32671	716.67172	1031.12481	739.61696	1064.13770	JPL
CH3OCHOv=0	Methyl Formate	687.90064	9.7E-6	55(15,41)-54(15,40)E	-1.33250	716.67192	1031.12510	739.61782	1064.13893	JPL
CH3OCHOv=0	Methyl Formate	688.11290	9.4E-6	55(15,40)-54(15,39)E	-1.33212	716.68912	1031.14985	739.64210	1064.17387	JPL
CH3OCHOv=0	Methyl Formate	688.13626	9.0E-6	55(15,40)-54(15,39)A	-1.32621	716.68512	1031.14409	739.63888	1064.16923	JPL
CH3OCHOv=0	Methyl Formate	688.14118	3.3E-6	28(13,15)-27(12,15)E	-2.49010	221.59861	318.82914	244.55253	351.85451	JPL
CH3OCHOv=0	Methyl Formate	688.15674	1.2E-5	61(4,57)-60(4,56)E	-1.52742	728.45592	1048.07955	751.41036	1081.10567	JPL
CH3OCHOv=0	Methyl Formate	688.15674	1.2E-5	61(5,57)-60(5,56)E	-1.52742	728.45592	1048.07955	751.41036	1081.10567	JPL
CH3OCHOv=0	Methyl Formate	688.15984	3.1E-6	28(13,16)-27(12,15)A	-2.49008	221.59911	318.82985	244.55365	351.85613	JPL
CH3OCHOv=0	Methyl Formate	688.15986	3.1E-6	28(13,15)-27(12,16)A	-2.49008	221.59911	318.82985	244.55365	351.85613	JPL
CH3OCHOv=0	Methyl Formate	688.16052	1.18E-5	61(4,57)-60(4,56)A	-1.52640	728.46392	1048.09106	751.41848	1081.11737	JPL
CH3OCHOv=0	Methyl Formate	688.16052	1.18E-5	61(5,57)-60(5,56)A	-1.52640	728.46392	1048.09106	751.41848	1081.11737	JPL
CH3OCHOv=0	Methyl Formate	688.16540	3.2E-6	28(13,16)-27(12,16)E	-2.48999	221.59551	318.82468	244.55024	351.85122	JPL
CH3OCHOv=0	Methyl Formate	688.31976	4.72E-5	56(27,29)-55(27,28)A	-1.46882	966.50092	1390.57123	989.46080	1423.60518	JPL
CH3OCHOv=0	Methyl Formate	688.31976	4.72E-5	56(27,30)-55(27,29)A	-1.46882	966.50092	1390.57123	989.46080	1423.60518	JPL
CH3OCHOv=0	Methyl Formate	688.31990	4.7E-5	56(27,30)-55(27,29)E	-1.46891	966.50292	1390.57411	989.46280	1423.60807	JPL
CH3OCHOv=0	Methyl Formate	688.32155	4.71E-5	56(27,29)-55(27,28)E	-1.46890	966.50882	1390.58260	989.46876	1423.61664	JPL
