Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3OCHOv=0	Methyl Formate	703.55103	1.32E-5	51(15,37)-51(13,38)A	-3.03413	626.98272	902.08309	650.45066	935.84802	JPL
CH3OCHOv=0	Methyl Formate	703.79525	1.23E-5	56(12,45)-55(12,44)A	-1.35002	706.52612	1016.52764	730.00220	1050.30429	JPL
CH3OCHOv=0	Methyl Formate	703.80219	1.26E-5	56(12,45)-55(12,44)E	-1.35002	706.52222	1016.52203	729.99853	1050.29901	JPL
CH3OCHOv=0	Methyl Formate	703.82909	3.6E-6	27(4,23)-26(3,24)E	-3.72999	143.74741	206.81927	167.22462	240.59754	JPL
CH3OCHOv=0	Methyl Formate	703.82960	2.42E-5	57(21,36)-56(21,35)E	-1.44432	858.34802	1234.96423	881.82525	1268.74253	JPL
CH3OCHOv=0	Methyl Formate	703.83174	2.39E-5	57(21,37)-56(21,36)E	-1.44423	858.34582	1234.96107	881.82312	1268.73947	JPL
CH3OCHOv=0	Methyl Formate	703.83367	2.43E-5	57(21,37)-56(21,36)A	-1.44424	858.33882	1234.95099	881.81618	1268.72949	JPL
CH3OCHOv=0	Methyl Formate	703.83371	2.47E-5	57(21,36)-56(21,35)A	-1.44424	858.33882	1234.95099	881.81619	1268.72949	JPL
CH3OCHOv=0	Methyl Formate	703.91035	3.6E-6	27(4,23)-26(2,24)E	-3.91905	143.74471	206.81538	167.22463	240.59756	JPL
CH3OCHOv=0	Methyl Formate	703.95596	3.4E-6	27(14,13)-26(13,13)E	-2.28709	221.92301	319.29587	245.40445	353.08024	JPL
CH3OCHOv=0	Methyl Formate	703.97798	3.2E-6	27(14,14)-26(13,13)A	-2.28717	221.92381	319.29702	245.40599	353.08244	JPL
CH3OCHOv=0	Methyl Formate	703.97798	3.2E-6	27(14,13)-26(13,14)A	-2.28717	221.92381	319.29702	245.40599	353.08244	JPL
CH3OCHOv=0	Methyl Formate	703.98317	3.3E-6	27(14,14)-26(13,14)E	-2.28708	221.91911	319.29026	245.40146	353.07593	JPL
CH3OCHOv=0	Methyl Formate	703.99161	1.15E-5	56(14,43)-55(14,42)A	-1.35588	727.56132	1046.79243	751.04395	1080.57850	JPL
CH3OCHOv=0	Methyl Formate	703.99319	3.8E-6	27(4,23)-26(3,24)A	-3.73020	143.74231	206.81193	167.22500	240.59808	JPL
CH3OCHOv=0	Methyl Formate	703.99329	1.6E-5	56(14,43)-55(14,42)E	-1.35598	727.56112	1046.79214	751.04381	1080.57829	JPL
CH3OCHOv=0	Methyl Formate	704.07418	3.8E-6	27(4,23)-26(2,24)A	-3.91835	143.73961	206.80805	167.22500	240.59808	JPL
CH3OCHOv=0	Methyl Formate	704.11051	9.9E-6	44(9,35)-44(6,38)A	-4.75111	430.51671	619.41395	454.00331	653.20573	JPL
CH3OCHOv=0	Methyl Formate	704.14722	5.4E-6	18(18,0)-17(17,0)E	-3.05851	195.94240	281.91578	219.43022	315.70933	JPL
