Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3OCHOv=0	Methyl Formate	690.33260	4.1E-6	38(10,29)-37(9,28)E	-3.22938	329.83141	474.55110	352.85843	507.68165	JPL
CH3OCHOv=0	Methyl Formate	690.57361	2.36E-5	56(22,34)-55(22,33)E	-1.42392	854.77892	1229.82912	877.81398	1262.97124	JPL
CH3OCHOv=0	Methyl Formate	690.57427	2.35E-5	56(22,35)-55(22,34)E	-1.42392	854.77832	1229.82826	877.81340	1262.97041	JPL
CH3OCHOv=0	Methyl Formate	690.57501	2.38E-5	56(22,34)-55(22,33)A	-1.42384	854.77042	1229.81689	877.80552	1262.95908	JPL
CH3OCHOv=0	Methyl Formate	690.57502	2.39E-5	56(22,35)-55(22,34)A	-1.42384	854.77042	1229.81689	877.80552	1262.95908	JPL
CH3OCHOv=0	Methyl Formate	690.81860	9.2E-6	55(14,42)-54(14,41)A	-1.31687	704.51802	1013.63845	727.56125	1046.79232	JPL
CH3OCHOv=0	Methyl Formate	690.82099	9.4E-6	55(14,42)-54(14,41)E	-1.31707	704.51782	1013.63816	727.56113	1046.79215	JPL
CH3OCHOv=0	Methyl Formate	690.88052	1.34E-5	64(1,63)-63(2,62)E	-3.64408	742.18752	1067.83614	765.23281	1100.99299	JPL
CH3OCHOv=0	Methyl Formate	690.88053	1.34E-5	64(1,63)-63(1,62)E	-1.58908	742.18752	1067.83614	765.23281	1100.99299	JPL
CH3OCHOv=0	Methyl Formate	690.88053	1.34E-5	64(2,63)-63(2,62)E	-1.58908	742.18752	1067.83614	765.23281	1100.99299	JPL
CH3OCHOv=0	Methyl Formate	690.88053	1.34E-5	64(2,63)-63(1,62)E	-3.64408	742.18752	1067.83614	765.23281	1100.99299	JPL
CH3OCHOv=0	Methyl Formate	690.88601	1.34E-5	64(1,63)-63(1,62)A	-1.58528	742.18542	1067.83312	765.23090	1100.99023	JPL
CH3OCHOv=0	Methyl Formate	690.88601	1.34E-5	64(2,63)-63(2,62)A	-1.58528	742.18542	1067.83312	765.23090	1100.99023	JPL
CH3OCHOv=0	Methyl Formate	690.89126	3.1E-6	27(7,21)-26(4,22)E	-3.55317	156.09711	224.58763	179.14276	257.74499	JPL
CH3OCHOv=0	Methyl Formate	690.93179	3.3E-6	27(7,21)-26(4,22)A	-3.55304	156.09721	224.58777	179.14421	257.74708	JPL
CH3OCHOv=0	Methyl Formate	691.18321	1.08E-5	42(12,30)-42(9,33)A	-4.65082	416.25131	598.88934	439.30670	632.06071	JPL
