Species	Chemical Name	Freq-GHz	Freq Err	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	E_L (cm^-1)	E_L (K)	E_U (cm^-1)	E_U (K)	Linelist
CH3OCHOv=0	Methyl Formate	686.53235	8.51E-5	54(13,41)-53(13,40)E	-1.24314	671.31052	965.86054	694.21077	998.80871	JPL
CH3OCHOv=0	Methyl Formate	686.53859	7.7E-6	54(13,41)-53(13,40)A	-1.24283	671.31312	965.86428	694.21358	998.81275	JPL
CH3OCHOv=0	Methyl Formate	686.54319	3.9E-6	37(10,28)-36(9,27)A	-3.19406	314.04331	451.83567	336.94393	484.78436	JPL
CH3OCHOv=0	Methyl Formate	686.55581	1.03E-5	57(9,49)-56(8,48)A	-2.51336	696.57082	1002.20427	719.47186	1035.15356	JPL
CH3OCHOv=0	Methyl Formate	686.56393	1.04E-5	57(9,49)-56(8,48)E	-2.51397	696.56422	1002.19477	719.46553	1035.14445	JPL
CH3OCHOv=0	Methyl Formate	686.59715	3.8E-6	37(10,28)-36(9,27)E	-3.19433	314.03681	451.82632	336.93923	484.77760	JPL
CH3OCHOv=0	Methyl Formate	686.60675	6.0E-6	41(14,27)-41(12,30)A	-4.35232	421.76341	606.81998	444.66615	639.77172	JPL
CH3OCHOv=0	Methyl Formate	686.61404	6.8E-6	41(14,28)-41(12,30)E	-4.46743	421.75961	606.81451	444.66259	639.76660	JPL
CH3OCHOv=0	Methyl Formate	686.63885	1.01E-5	56(10,47)-55(10,46)A	-1.37939	685.70312	986.56816	708.60693	1019.52144	JPL
CH3OCHOv=0	Methyl Formate	686.64827	1.03E-5	56(10,47)-55(10,46)E	-1.37940	685.69702	986.55938	708.60114	1019.51311	JPL
CH3OCHOv=0	Methyl Formate	686.73275	1.09E-5	59(6,53)-58(7,52)A	-2.50896	714.64302	1028.20598	737.54996	1061.16377	JPL
CH3OCHOv=0	Methyl Formate	686.73309	1.09E-5	59(7,53)-58(7,52)A	-1.51386	714.64302	1028.20598	737.54997	1061.16378	JPL
CH3OCHOv=0	Methyl Formate	686.73332	1.1E-5	59(6,53)-58(6,52)A	-1.51386	714.64302	1028.20598	737.54998	1061.16379	JPL
CH3OCHOv=0	Methyl Formate	686.73366	1.09E-5	59(7,53)-58(6,52)A	-2.50896	714.64302	1028.20598	737.54999	1061.16381	JPL
CH3OCHOv=0	Methyl Formate	686.73466	1.12E-5	59(6,53)-58(7,52)E	-2.49858	714.63532	1028.19490	737.54232	1061.15278	JPL
CH3OCHOv=0	Methyl Formate	686.73501	1.12E-5	59(7,53)-58(7,52)E	-1.51498	714.63532	1028.19490	737.54233	1061.15280	JPL
CH3OCHOv=0	Methyl Formate	686.73523	1.12E-5	59(6,53)-58(6,52)E	-1.51498	714.63522	1028.19476	737.54224	1061.15266	JPL
CH3OCHOv=0	Methyl Formate	686.73558	1.12E-5	59(7,53)-58(6,52)E	-2.49858	714.63522	1028.19476	737.54225	1061.15268	JPL
CH3OCHOv=0	Methyl Formate	687.03965	1.07E-5	47(10,37)-47(7,40)A	-4.62149	496.29761	714.05745	519.21479	747.02996	JPL
CH3OCHOv=0	Methyl Formate	687.37680	1.17E-5	60(5,55)-59(6,54)E	-2.14629	722.03942	1038.84769	744.96784	1071.83638	JPL
CH3OCHOv=0	Methyl Formate	687.37681	1.17E-5	60(6,55)-59(6,54)E	-1.61259	722.03942	1038.84769	744.96784	1071.83638	JPL
CH3OCHOv=0	Methyl Formate	687.37681	1.16E-5	60(5,55)-59(5,54)E	-1.61259	722.03942	1038.84769	744.96784	1071.83638	JPL
CH3OCHOv=0	Methyl Formate	687.37682	1.16E-5	60(6,55)-59(5,54)E	-2.14629	722.03942	1038.84769	744.96784	1071.83639	JPL
CH3OCHOv=0	Methyl Formate	687.37775	1.15E-5	60(5,55)-59(6,54)A	-2.77967	722.04752	1038.85934	744.97597	1071.84808	JPL
CH3OCHOv=0	Methyl Formate	687.37777	1.14E-5	60(6,55)-59(6,54)A	-1.52457	722.04752	1038.85934	744.97597	1071.84808	JPL
CH3OCHOv=0	Methyl Formate	687.37777	1.14E-5	60(5,55)-59(5,54)A	-1.52457	722.04752	1038.85934	744.97597	1071.84808	JPL
CH3OCHOv=0	Methyl Formate	687.37779	1.14E-5	60(6,55)-59(5,54)A	-2.77967	722.04752	1038.85934	744.97597	1071.84809	JPL
CH3OCHOv=0	Methyl Formate	687.38342	1.95E-5	55(15,41)-54(15,39)E	-3.20331	716.68912	1031.14985	739.61776	1064.13886	JPL
